Date,Team,Goals,Assists,Points,Plusminus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,Shots,TOI,Shifts,Year,season,Home,toi2,toi3,toi_seconds,opponent,opp_2
2023-10-11,@ LAK,1,1,2,3,4,1,1,0,0,0,0,5,22:22,28,2023,202324,0,22:22,22:22,1342,LAK,LAK
2023-10-14,@ SJS,1,0,1,1,0,0,0,0,0,0,0,5,27:46,30,2023,202324,0,27:46,27:46,1666,SJS,SJS
2023-10-17,@ SEA,0,1,1,2,0,0,0,0,0,0,0,2,22:08,28,2023,202324,0,22:08,22:08,1328,SEA,SEA
2023-10-19,vs CHI,0,0,0,0,0,0,0,0,0,0,0,0,24:52,25,2023,202324,1,24:52,24:52,1492,CHI,CHI
2023-10-21,vs CAR,0,2,2,0,2,0,0,0,0,0,0,3,23:53,28,2023,202324,1,23:53,23:53,1433,CAR,CAR
2023-10-24,@ NYI,1,2,3,1,0,0,0,0,0,0,0,1,24:39,27,2023,202324,0,24:39,24:39,1479,NYI,NYI
2023-10-26,@ PIT,0,0,0,-1,0,0,0,0,0,0,0,0,23:07,25,2023,202324,0,23:07,23:07,1387,PIT,PIT
2023-10-29,@ BUF,0,0,0,-1,0,0,0,0,0,0,0,0,21:58,20,2023,202324,0,21:58,21:58,1318,BUF,BUF
2023-11-01,vs STL,0,2,2,0,0,0,0,0,0,0,0,3,25:22,25,2023,202324,1,25:22,25:22,1522,STL,STL
2023-11-04,@ VEG,0,0,0,-1,0,0,0,0,0,0,0,3,21:55,25,2023,202324,0,21:55,21:55,1315,VEG,VEG
2023-11-07,vs NJD,0,3,3,4,0,0,0,0,0,0,0,2,25:21,26,2023,202324,1,25:21,25:21,1521,NJD,NJD
2023-11-09,vs SEA,0,1,1,2,0,0,0,0,0,0,0,3,24:25,27,2023,202324,1,24:25,24:25,1465,SEA,SEA
2023-11-11,vs STL,0,1,1,-2,2,0,0,0,0,0,0,5,22:09,25,2023,202324,1,22:09,22:09,1329,STL,STL
2023-11-13,@ SEA,1,1,2,1,0,0,0,0,0,0,0,3,23:28,30,2023,202324,0,23:28,23:28,1408,SEA,SEA
2023-11-15,vs ANA,0,3,3,2,0,0,0,0,0,0,0,5,22:13,25,2023,202324,1,22:13,22:13,1333,ANA,ANA
2023-11-18,@ DAL,0,3,3,2,0,0,0,0,0,0,0,2,26:14,28,2023,202324,0,26:14,26:14,1574,DAL,DAL
2023-11-20,@ NSH,0,3,3,0,0,0,0,0,0,0,0,1,25:02,24,2023,202324,0,25:02,25:02,1502,NSH,NSH
2023-11-22,vs VAN,1,1,2,3,0,0,0,0,0,0,0,3,24:36,27,2023,202324,1,24:36,24:36,1476,VAN,VAN
2023-11-24,@ MIN,0,0,0,1,0,0,0,0,0,0,0,2,28:48,28,2023,202324,0,28:48,28:48,1728,MIN,MIN
2023-11-25,vs CGY,0,1,1,1,0,0,0,0,0,0,0,0,22:33,26,2023,202324,1,22:33,22:33,1353,CGY,CGY
2023-11-27,vs TBL,1,1,2,2,2,1,1,0,0,0,0,3,26:28,25,2023,202324,1,26:28,26:28,1588,TBL,TBL
2023-11-30,@ ARI,1,1,2,-2,0,1,1,0,0,0,0,4,28:15,28,2023,202324,0,28:15,28:15,1695,ARI,ARI
2023-12-02,@ ANA,0,0,0,0,0,0,0,0,0,0,0,2,25:03,21,2023,202324,0,25:03,25:03,1503,ANA,ANA
2023-12-07,vs WPG,0,0,0,-2,0,0,0,0,0,0,0,4,24:10,24,2023,202324,1,24:10,24:10,1450,WPG,WPG
2023-12-09,vs PHI,0,0,0,-1,0,0,0,0,0,0,0,3,24:51,25,2023,202324,1,24:51,24:51,1491,PHI,PHI
2023-12-11,vs CGY,1,1,2,-2,0,1,1,0,0,0,0,5,23:20,27,2023,202324,1,23:20,23:20,1400,CGY,CGY
2023-12-13,vs BUF,0,1,1,0,0,0,0,0,0,0,0,2,17:21,19,2023,202324,1,17:21,17:21,1041,BUF,BUF
2023-12-21,vs OTT,0,2,2,-1,0,0,0,0,0,0,0,5,28:26,28,2023,202324,1,28:26,28:26,1706,OTT,OTT
2023-12-23,vs ARI,0,0,0,1,0,0,0,0,0,0,0,4,22:59,23,2023,202324,1,22:59,22:59,1379,ARI,ARI
2023-12-27,@ ARI,0,2,2,-3,0,0,0,0,0,0,0,5,25:55,28,2023,202324,0,25:55,25:55,1555,ARI,ARI
2023-12-29,@ STL,0,0,0,0,0,0,0,0,0,0,0,4,24:45,29,2023,202324,0,24:45,24:45,1485,STL,STL
2023-12-31,vs SJS,0,0,0,0,2,0,0,0,0,0,0,5,25:12,26,2023,202324,1,25:12,25:12,1512,SJS,SJS
2024-01-02,vs NYI,0,3,3,0,0,0,0,0,0,0,0,2,26:11,27,2024,202324,1,26:11,26:11,1571,NYI,NYI
2024-01-04,@ DAL,0,1,1,0,0,0,0,0,0,0,0,3,27:38,29,2024,202324,0,27:38,27:38,1658,DAL,DAL
2024-01-06,vs FLA,1,1,2,-2,0,0,0,0,0,0,0,4,26:25,26,2024,202324,1,26:25,26:25,1585,FLA,FLA
2024-01-08,vs BOS,0,1,1,-1,0,0,0,0,0,0,0,5,31:17,32,2024,202324,1,31:17,31:17,1877,BOS,BOS
2024-01-10,vs VEG,0,0,0,0,0,0,0,0,0,0,0,1,26:52,30,2024,202324,1,26:52,26:52,1612,VEG,VEG
2024-01-13,@ TOR,0,0,0,1,0,0,0,0,0,0,0,5,25:09,25,2024,202324,0,25:09,25:09,1509,TOR,TOR
2024-01-15,@ MTL,1,2,3,1,0,0,0,0,0,0,0,6,29:17,24,2024,202324,0,29:17,29:17,1757,MTL,MTL
2024-01-16,@ OTT,0,1,1,1,0,0,0,0,0,0,0,2,23:19,23,2024,202324,0,23:19,23:19,1399,OTT,OTT
2024-01-18,@ BOS,0,1,1,-2,0,0,0,0,0,0,0,2,27:32,25,2024,202324,0,27:32,27:32,1652,BOS,BOS
2024-01-20,@ PHI,0,1,1,0,0,0,0,0,0,0,0,3,24:01,27,2024,202324,0,24:01,24:01,1441,PHI,PHI
2024-01-24,vs WSH,1,2,3,3,0,0,0,1,1,0,0,1,24:17,24,2024,202324,1,24:17,24:17,1457,WSH,WSH
2024-01-26,vs LAK,1,0,1,1,0,1,1,0,0,0,0,9,25:25,22,2024,202324,1,25:25,25:25,1525,LAK,LAK
2024-02-05,@ NYR,0,1,1,0,0,0,0,0,0,0,0,1,25:28,23,2024,202324,0,25:28,25:28,1528,NYR,NYR
2024-02-06,@ NJD,1,0,1,-1,0,0,0,0,0,0,0,6,27:17,28,2024,202324,0,27:17,27:17,1637,NJD,NJD
2024-02-08,@ CAR,0,0,0,-2,0,0,0,0,0,0,0,3,25:56,24,2024,202324,0,25:56,25:56,1556,CAR,CAR
2024-02-10,@ FLA,0,0,0,0,0,0,0,0,0,0,0,2,22:35,24,2024,202324,0,22:35,22:35,1355,FLA,FLA
2024-02-13,@ WSH,0,0,0,1,0,0,0,0,0,0,0,3,26:22,27,2024,202324,0,26:22,26:22,1582,WSH,WSH
2024-02-15,@ TBL,0,0,0,-3,0,0,0,0,0,0,0,2,27:32,22,2024,202324,0,27:32,27:32,1652,TBL,TBL
2024-02-18,vs ARI,0,0,0,-1,0,0,0,0,0,0,0,6,27:09,29,2024,202324,1,27:09,27:09,1629,ARI,ARI
2024-02-20,vs VAN,0,0,0,0,0,0,0,0,0,0,0,1,25:42,25,2024,202324,1,25:42,25:42,1542,VAN,VAN
2024-02-22,@ DET,0,0,0,0,0,0,0,0,0,0,0,3,27:05,24,2024,202324,0,27:05,27:05,1625,DET,DET
2024-02-24,vs TOR,0,1,1,-2,0,0,0,0,0,0,0,3,23:23,26,2024,202324,1,23:23,23:23,1403,TOR,TOR
2024-02-27,vs DAL,0,1,1,0,0,0,0,0,0,0,0,0,23:59,26,2024,202324,1,23:59,23:59,1439,DAL,DAL
2024-02-29,@ CHI,0,2,2,2,0,0,0,0,0,0,0,3,22:20,23,2024,202324,0,22:20,22:20,1340,CHI,CHI
2024-03-02,@ NSH,0,0,0,-1,0,0,0,0,0,0,0,2,23:26,23,2024,202324,0,23:26,23:26,1406,NSH,NSH
2024-03-04,vs CHI,1,1,2,2,2,0,0,0,0,0,0,5,22:05,24,2024,202324,1,22:05,22:05,1325,CHI,CHI
2024-03-06,vs DET,3,1,4,3,0,1,1,0,0,0,0,5,23:50,24,2024,202324,1,23:50,23:50,1430,DET,DET
2024-03-08,vs MIN,0,0,0,1,0,0,0,0,0,0,0,3,24:11,24,2024,202324,1,24:11,24:11,1451,MIN,MIN
2024-03-12,@ CGY,0,1,1,4,0,0,0,0,0,0,0,2,23:42,22,2024,202324,0,23:42,23:42,1422,CGY,CGY
2024-03-13,@ VAN,0,2,2,-2,0,0,0,0,0,0,0,1,27:18,30,2024,202324,0,27:18,27:18,1638,VAN,VAN
2024-03-16,@ EDM,0,1,1,2,0,0,0,0,0,0,0,3,27:31,31,2024,202324,0,27:31,27:31,1651,EDM,EDM
2024-03-19,@ STL,0,1,1,-2,0,0,0,0,0,0,0,3,21:29,23,2024,202324,0,21:29,21:29,1289,STL,STL
2024-03-22,vs CBJ,1,1,2,3,0,0,0,0,0,0,0,5,21:39,24,2024,202324,1,21:39,21:39,1299,CBJ,CBJ
2024-03-24,vs PIT,0,1,1,0,0,0,0,0,0,0,0,1,25:10,28,2024,202324,1,25:10,25:10,1510,PIT,PIT
2024-03-26,vs MTL,0,0,0,0,0,0,0,0,0,0,0,2,26:41,22,2024,202324,1,26:41,26:41,1601,MTL,MTL
2024-03-28,vs NYR,0,0,0,1,0,0,0,0,0,0,0,3,26:42,27,2024,202324,1,26:42,26:42,1602,NYR,NYR
2024-03-30,vs NSH,1,2,3,-2,0,1,1,0,0,0,0,4,21:42,21,2024,202324,1,21:42,21:42,1302,NSH,NSH
2024-04-01,@ CBJ,0,0,0,-2,0,0,0,0,0,0,0,6,25:40,23,2024,202324,0,25:40,25:40,1540,CBJ,CBJ
2024-04-04,@ MIN,0,1,1,2,0,0,0,0,0,0,0,4,23:20,23,2024,202324,0,23:20,23:20,1400,MIN,MIN
2024-04-05,@ EDM,0,1,1,-2,0,0,0,0,0,0,0,0,21:32,23,2024,202324,0,21:32,21:32,1292,EDM,EDM
2024-04-07,vs DAL,0,1,1,0,2,0,0,0,0,0,0,1,26:09,25,2024,202324,1,26:09,26:09,1569,DAL,DAL
2024-04-09,vs MIN,1,2,3,2,0,0,0,0,0,1,0,5,22:13,23,2024,202324,1,22:13,22:13,1333,MIN,MIN
2024-04-13,vs WPG,0,0,0,-2,0,0,0,0,0,0,0,2,25:29,27,2024,202324,1,25:29,25:29,1529,WPG,WPG
2024-04-14,@ VEG,1,1,2,1,0,0,0,0,0,0,0,1,24:40,32,2024,202324,0,24:40,24:40,1480,VEG,VEG
2024-04-18,vs EDM,0,1,1,1,0,0,0,0,0,0,0,3,21:00,22,2024,202324,1,21:00,21:00,1260,EDM,EDM
2022-10-12,vs CHI,0,2,2,1,0,0,0,0,0,0,0,4,24:06,23,2022,202223,1,24:06,24:06,1446,CHI,CHI
2022-10-13,@ CGY,0,0,0,-1,4,0,0,0,0,0,0,2,26:39,26,2022,202223,0,26:39,26:39,1599,CGY,CGY
2022-10-17,@ MIN,0,2,2,1,0,0,0,0,0,0,0,2,26:40,28,2022,202223,0,26:40,26:40,1600,MIN,MIN
2022-10-19,vs WPG,0,1,1,-1,0,0,0,0,0,0,0,2,24:59,29,2022,202223,1,24:59,24:59,1499,WPG,WPG
2022-10-21,vs SEA,0,0,0,1,0,0,0,0,0,0,0,0,28:30,27,2022,202223,1,28:30,28:30,1710,SEA,SEA
2022-10-22,@ VEG,0,1,1,0,0,0,0,0,0,0,0,3,25:46,32,2022,202223,0,25:46,25:46,1546,VEG,VEG
2022-10-25,@ NYR,0,1,1,-1,0,0,0,0,0,0,0,2,26:54,28,2022,202223,0,26:54,26:54,1614,NYR,NYR
2022-10-28,@ NJD,0,0,0,0,0,0,0,0,0,0,0,2,25:49,25,2022,202223,0,25:49,25:49,1549,NJD,NJD
2022-10-29,@ NYI,0,1,1,0,0,0,0,0,0,0,0,4,28:02,28,2022,202223,0,28:02,28:02,1682,NYI,NYI
2022-11-04,vs CBJ,1,1,2,2,0,0,0,0,0,0,0,6,26:49,30,2022,202223,1,26:49,26:49,1609,CBJ,CBJ
2022-11-05,@ CBJ,0,3,3,4,0,0,0,0,0,0,0,4,21:45,27,2022,202223,0,21:45,21:45,1305,CBJ,CBJ
2022-11-10,vs NSH,0,1,1,1,0,0,0,0,0,0,0,2,27:27,26,2022,202223,1,27:27,27:27,1647,NSH,NSH
2022-11-12,vs CAR,2,0,2,2,2,1,1,0,0,1,0,2,26:53,28,2022,202223,1,26:53,26:53,1613,CAR,CAR
2022-11-14,vs STL,0,2,2,-1,0,0,0,0,0,0,0,4,29:06,28,2022,202223,1,29:06,29:06,1746,STL,STL
2022-11-17,@ CAR,0,0,0,0,0,0,0,0,0,0,0,1,32:48,31,2022,202223,0,32:48,32:48,1968,CAR,CAR
2022-11-19,@ WSH,1,0,1,1,0,1,1,0,0,1,0,2,24:43,24,2022,202223,0,24:43,24:43,1483,WSH,WSH
2022-11-21,@ DAL,1,0,1,-2,0,1,1,0,0,0,0,2,32:17,28,2022,202223,0,32:17,32:17,1937,DAL,DAL
2022-11-23,vs VAN,1,0,1,-2,4,1,1,0,0,0,0,5,27:32,28,2022,202223,1,27:32,27:32,1652,VAN,VAN
2022-11-26,vs DAL,0,0,0,0,0,0,0,0,0,0,0,2,26:21,28,2022,202223,1,26:21,26:21,1581,DAL,DAL
2022-11-29,@ WPG,0,0,0,-2,2,0,0,0,0,0,0,4,21:55,24,2022,202223,0,21:55,21:55,1315,WPG,WPG
2022-12-01,@ BUF,0,2,2,0,0,0,0,0,0,0,0,6,30:38,23,2022,202223,0,30:38,30:38,1838,BUF,BUF
2022-12-03,@ BOS,0,0,0,-1,0,0,0,0,0,0,0,1,26:37,27,2022,202223,0,26:37,26:37,1597,BOS,BOS
2022-12-05,@ PHI,0,1,1,-1,2,0,0,0,0,0,0,2,28:53,25,2022,202223,0,28:53,28:53,1733,PHI,PHI
2022-12-07,vs BOS,0,0,0,0,0,0,0,0,0,0,0,3,24:59,27,2022,202223,1,24:59,24:59,1499,BOS,BOS
2022-12-09,vs NYR,0,0,0,1,0,0,0,0,0,0,0,8,28:25,32,2022,202223,1,28:25,28:25,1705,NYR,NYR
2022-12-11,@ STL,0,1,1,1,4,0,0,0,0,0,0,6,26:13,26,2022,202223,0,26:13,26:13,1573,STL,STL
2022-12-13,vs PHI,0,0,0,-1,2,0,0,0,0,0,0,2,25:59,28,2022,202223,1,25:59,25:59,1559,PHI,PHI
2022-12-15,vs BUF,0,1,1,-1,2,0,0,0,0,0,0,4,28:45,28,2022,202223,1,28:45,28:45,1725,BUF,BUF
2022-12-17,vs NSH,1,1,2,1,0,0,0,0,0,0,0,7,26:01,25,2022,202223,1,26:01,26:01,1561,NSH,NSH
2022-12-19,vs NYI,0,0,0,0,0,0,0,0,0,0,0,4,31:48,30,2022,202223,1,31:48,31:48,1908,NYI,NYI
2022-12-21,vs MTL,0,1,1,0,0,0,0,0,0,0,0,4,26:58,28,2022,202223,1,26:58,26:58,1618,MTL,MTL
2022-12-23,@ NSH,0,0,0,1,0,0,0,0,0,0,0,5,30:08,28,2022,202223,0,30:08,30:08,1808,NSH,NSH
2022-12-27,@ ARI,1,1,2,-1,0,0,0,0,0,0,0,4,25:45,30,2022,202223,0,25:45,25:45,1545,ARI,ARI
2022-12-29,vs LAK,1,2,3,3,0,0,0,0,0,0,0,4,27:51,30,2022,202223,1,27:51,27:51,1671,LAK,LAK
2022-12-31,vs TOR,0,0,0,-2,0,0,0,0,0,0,0,1,25:35,30,2022,202223,1,25:35,25:35,1535,TOR,TOR
2023-01-02,vs VEG,0,0,0,0,2,0,0,0,0,0,0,2,27:54,29,2023,202223,1,27:54,27:54,1674,VEG,VEG
2023-01-05,@ VAN,0,1,1,-2,2,0,0,0,0,0,0,1,30:17,27,2023,202223,0,30:17,30:17,1817,VAN,VAN
2023-01-07,@ EDM,1,1,2,3,0,0,0,0,0,1,0,2,33:09,31,2023,202223,0,33:09,33:09,1989,EDM,EDM
2023-01-10,vs FLA,0,1,1,0,0,0,0,0,0,0,0,4,30:39,30,2023,202223,1,30:39,30:39,1839,FLA,FLA
2023-01-12,@ CHI,1,0,1,0,0,0,0,0,0,0,0,4,27:31,31,2023,202223,0,27:31,27:31,1651,CHI,CHI
2023-01-14,vs OTT,0,1,1,0,0,0,0,0,0,0,0,2,21:50,24,2023,202223,1,21:50,21:50,1310,OTT,OTT
2023-01-16,vs DET,2,1,3,3,0,1,1,0,0,0,0,5,19:39,20,2023,202223,1,19:39,19:39,1179,DET,DET
2023-01-26,vs ANA,0,1,1,-2,0,0,0,0,0,0,0,2,26:12,27,2023,202223,1,26:12,26:12,1572,ANA,ANA
2023-01-28,vs STL,0,1,1,2,0,0,0,0,0,0,0,1,26:44,28,2023,202223,1,26:44,26:44,1604,STL,STL
2023-02-07,@ PIT,0,0,0,-2,0,0,0,0,0,0,0,2,24:21,25,2023,202223,0,24:21,24:21,1461,PIT,PIT
2023-02-18,@ STL,0,0,0,1,0,0,0,0,0,0,0,1,21:27,23,2023,202223,0,21:27,21:27,1287,STL,STL
2023-03-04,@ DAL,0,0,0,-1,0,0,0,0,0,0,0,1,22:27,25,2023,202223,0,22:27,22:27,1347,DAL,DAL
2023-03-05,vs SEA,0,1,1,1,2,0,0,0,0,0,0,2,23:40,29,2023,202223,1,23:40,23:40,1420,SEA,SEA
2023-03-07,vs SJS,1,3,4,5,0,0,0,0,0,1,0,5,22:57,23,2023,202223,1,22:57,22:57,1377,SJS,SJS
2023-03-09,vs LAK,0,1,1,-3,0,0,0,0,0,0,0,2,25:55,29,2023,202223,1,25:55,25:55,1555,LAK,LAK
2023-03-11,vs ARI,1,0,1,0,0,0,0,0,0,1,0,5,26:10,29,2023,202223,1,26:10,26:10,1570,ARI,ARI
2023-03-13,@ MTL,0,3,3,2,0,0,0,0,0,0,0,0,23:37,25,2023,202223,0,23:37,23:37,1417,MTL,MTL
2023-03-15,@ TOR,0,1,1,0,0,0,0,0,0,0,0,4,30:34,32,2023,202223,0,30:34,30:34,1834,TOR,TOR
2023-03-16,@ OTT,1,1,2,2,0,0,0,0,0,0,0,1,27:03,28,2023,202223,0,27:03,27:03,1623,OTT,OTT
2023-03-18,@ DET,0,3,3,3,0,0,0,0,0,0,0,1,21:45,23,2023,202223,0,21:45,21:45,1305,DET,DET
2023-03-24,vs ARI,1,2,3,1,0,0,0,0,0,1,0,2,25:14,27,2023,202223,1,25:14,25:14,1514,ARI,ARI
2023-03-26,@ ARI,0,0,0,-1,2,0,0,0,0,0,0,3,23:43,28,2023,202223,0,23:43,23:43,1423,ARI,ARI
2023-03-27,@ ANA,0,2,2,1,0,0,0,0,0,0,0,4,22:14,22,2023,202223,0,22:14,22:14,1334,ANA,ANA
2023-03-29,vs MIN,0,0,0,-3,0,0,0,0,0,0,0,3,24:53,24,2023,202223,1,24:53,24:53,1493,MIN,MIN
2023-04-01,vs DAL,0,0,0,3,0,0,0,0,0,0,0,1,23:18,27,2023,202223,1,23:18,23:18,1398,DAL,DAL
2021-10-13,vs CHI,0,0,0,-1,0,0,0,0,0,0,0,3,22:31,27,2021,202122,1,22:31,22:31,1351,CHI,CHI
2021-10-16,vs STL,0,1,1,0,0,0,0,0,0,0,0,3,26:13,27,2021,202122,1,26:13,26:13,1573,STL,STL
2021-10-19,@ WSH,0,0,0,-5,0,0,0,0,0,0,0,3,22:23,25,2021,202122,0,22:23,22:23,1343,WSH,WSH
2021-10-21,@ FLA,0,0,0,-3,2,0,0,0,0,0,0,2,24:07,28,2021,202122,0,24:07,24:07,1447,FLA,FLA
2021-10-23,@ TBL,0,2,2,1,0,0,0,0,0,0,0,1,28:29,34,2021,202122,0,28:29,28:29,1709,TBL,TBL
2021-10-26,vs VEG,1,0,1,-1,0,0,0,0,0,0,0,2,26:07,32,2021,202122,1,26:07,26:07,1567,VEG,VEG
2021-10-28,@ STL,1,1,2,-1,0,0,0,0,0,1,0,3,25:14,31,2021,202122,0,25:14,25:14,1514,STL,STL
2021-10-30,vs MIN,0,0,0,2,0,0,0,0,0,0,0,1,24:59,26,2021,202122,1,24:59,24:59,1499,MIN,MIN
2021-11-11,vs VAN,0,2,2,1,0,0,0,0,0,0,0,0,22:42,26,2021,202122,1,22:42,22:42,1362,VAN,VAN
2021-11-13,vs SJS,0,0,0,0,0,0,0,0,0,0,0,2,21:40,25,2021,202122,1,21:40,21:40,1300,SJS,SJS
2021-11-17,@ VAN,1,1,2,0,0,1,1,0,0,1,0,4,24:21,27,2021,202122,0,24:21,24:21,1461,VAN,VAN
2021-11-19,@ SEA,2,1,3,3,0,0,0,0,0,0,0,6,20:09,29,2021,202122,0,20:09,20:09,1209,SEA,SEA
2021-11-22,vs OTT,2,0,2,2,0,0,0,0,0,0,0,9,24:03,27,2021,202122,1,24:03,24:03,1443,OTT,OTT
2021-11-24,vs ANA,1,0,1,1,0,0,0,0,0,0,0,4,21:39,27,2021,202122,1,21:39,21:39,1299,ANA,ANA
2021-11-26,@ DAL,1,0,1,1,0,0,0,0,0,0,0,4,27:52,27,2021,202122,0,27:52,27:52,1672,DAL,DAL
2021-11-27,vs NSH,0,3,3,1,0,0,0,0,0,0,0,1,23:32,29,2021,202122,1,23:32,23:32,1412,NSH,NSH
2021-12-01,@ TOR,0,0,0,-2,0,0,0,0,0,0,0,1,24:41,24,2021,202122,0,24:41,24:41,1481,TOR,TOR
2021-12-02,@ MTL,1,0,1,2,0,0,0,0,0,1,0,2,22:49,27,2021,202122,0,22:49,22:49,1369,MTL,MTL
2021-12-06,@ PHI,1,0,1,1,0,1,1,0,0,0,0,5,25:42,26,2021,202122,0,25:42,25:42,1542,PHI,PHI
2021-12-08,@ NYR,0,1,1,2,0,0,0,0,0,0,0,2,22:46,28,2021,202122,0,22:46,22:46,1366,NYR,NYR
2021-12-10,vs DET,1,1,2,3,2,0,0,0,0,0,0,3,22:58,25,2021,202122,1,22:58,22:58,1378,DET,DET
2021-12-12,vs FLA,0,0,0,0,2,0,0,0,0,0,0,2,24:12,33,2021,202122,1,24:12,24:12,1452,FLA,FLA
2021-12-14,vs NYR,1,0,1,-1,0,1,1,0,0,0,0,1,27:33,29,2021,202122,1,27:33,27:33,1653,NYR,NYR
2022-01-02,vs ANA,0,1,1,2,0,0,0,0,0,0,0,3,24:43,29,2022,202122,1,24:43,24:43,1483,ANA,ANA
